,NC Number,Initiation Date,Initial Failure Mode,Disposition,Lot Number,Dispositioned Quantity,Product,Client Name,,Department,Disposition Completed,Disposition in Execution,Closed Date,Disposition Completed Date,ea Cost,Cost,IFM Description,IFM Inspection,IFM Process,Created Date,Discovery/Plant Area,Root Cause,Root Cause Description,Status,Value Stream
17,NC-IL081-22842,2020-05-26 00:00:00,SFF-M-V-Flash/Gate 3,Reject,20E07363X,960,8881512852,,,Quality,Yes,Yes,2020-06-29 19:48:17.063000,2020-06-29 00:00:00,97.7,93792.0,Flash Type 3: Flash in NON-Functional Areas (including gates) exceeds 1/16” (.063”),,,2020-05-26,S3D,Machine settings,Defect occurred due to being too hot and possibly the decompression not working. Caused by normal wear and tear and possible dirty gates. The original parameters were in spec.,CLOSED,Syringe
18,NC-IL081-22969,2020-06-02 00:00:00,SFF-PPSP-V-Seal Integrity 2,Accept,20D22363X,5760,1181200777T,,,Quality,Yes,Yes,2020-07-17 15:37:48.763000,2020-07-17 00:00:00,,,"Seal is intact but less than 3 mm (1/8 inch) width seal. For 60 mL and 35 mL products, less than 5 mm width.",,,2020-06-02,S8F,Part Disorientation,Part disorientated causing it to get stuck on heat plate where it seals when going through multivac creating the void.,CLOSED,Syringe
19,NC-IL081-23020,2020-06-04 00:00:00,CFF-V-Short,Accept,20C18463,2350,8533SA,,,Quality,Yes,Yes,2020-08-04 21:31:00.023000,2020-08-04 00:00:00,33.0,77550.0,Part is not completely formed; Missing plastic,Visual,Molding,2020-06-04,C46,Shot Size and Hold Speed,The root cause was determined to be a combination of shot size and hold speed being incorrect.,CLOSED,Container
20,NC-IL081-23020,2020-06-04 00:00:00,CFF-V-Short,Accept,20C17363,27860,8537SA,,,Quality,Yes,Yes,2020-08-04 21:31:00.023000,2020-08-04 00:00:00,20.0,557200.0,Part is not completely formed; Missing plastic,Visual,Molding,2020-06-04,C46,Shot Size and Hold Speed,The root cause was determined to be a combination of shot size and hold speed being incorrect.,CLOSED,Container
21,NC-IL081-23020,2020-06-04 00:00:00,CFF-V-Short,Accept,20C16163,24830,V8536,,,Quality,Yes,Yes,2020-08-04 21:31:00.023000,2020-08-04 00:00:00,19.9,494116.99999999994,Part is not completely formed; Missing plastic,Visual,Molding,2020-06-04,C46,Shot Size and Hold Speed,The root cause was determined to be a combination of shot size and hold speed being incorrect.,CLOSED,Container
22,NC-IL081-23020,2020-06-04 00:00:00,CFF-V-Short,Reject,20C17363,130,WP8536,,,Quality,Yes,Yes,2020-08-04 21:31:00.023000,2020-08-04 00:00:00,4.6,598.0,Part is not completely formed; Missing plastic,Visual,Molding,2020-06-04,C46,Shot Size and Hold Speed,The root cause was determined to be a combination of shot size and hold speed being incorrect.,CLOSED,Container
23,NC-IL081-23020,2020-06-04 00:00:00,CFF-V-Short,Reject,20C17363,200,8537SA,,,Quality,Yes,Yes,2020-08-04 21:31:00.023000,2020-08-04 00:00:00,20.0,4000.0,Part is not completely formed; Missing plastic,Visual,Molding,2020-06-04,C46,Shot Size and Hold Speed,The root cause was determined to be a combination of shot size and hold speed being incorrect.,CLOSED,Container
24,NC-IL081-23092,2020-06-09 00:00:00,SFF-P-V-Alpha Numeric 2,Accept,20F01663X,10000,8881907102,,,Quality,Yes,Yes,2020-06-23 15:37:09.387000,2020-06-23 00:00:00,62.5,625000.0,Type 2: Illegible print or missing one or more letter,,,2020-06-09,S7N,Printer Malfunction,Printer Malfunction,CLOSED,Syringe
25,NC-IL081-23217,2020-06-12 00:00:00,SFF-SPIC-F-UDI Barcode,Accept,20E11063X,171360,8881512878,,,Quality,Yes,Yes,2020-10-09 18:37:39.553000,2020-10-09 00:00:00,102.1,17495856.0,UDI Barcode,,,2020-06-12,CME,Procedure,"Root cause: GS10000267 Rev. 204 outlines requirements for Print File Maintenance on label/art files\nmanaged at machines. The procedure requires use of existing machine files for maintenance and does not\ncover the storage/use of any backup files as would have been required when faced with a corrupt file situation.  As written, this procedure does not provide enough guidance.  The aforementioned procedure does require verification after modification of print files.  It was confirmed that no verification was performed following GS10000267 Rev. 204 requirements; therefore, failure to follow procedure is also contributing factor.",CLOSED,Syringe
26,NC-IL081-23217,2020-06-12 00:00:00,SFF-SPIC-F-UDI Barcode,Accept,20E03663X,171840,8881512878,,,Quality,Yes,Yes,2020-10-09 18:37:39.553000,2020-10-09 00:00:00,102.1,17544864.0,UDI Barcode,,,2020-06-12,CME,Procedure,"Root cause: GS10000267 Rev. 204 outlines requirements for Print File Maintenance on label/art files\nmanaged at machines. The procedure requires use of existing machine files for maintenance and does not\ncover the storage/use of any backup files as would have been required when faced with a corrupt file situation.  As written, this procedure does not provide enough guidance.  The aforementioned procedure does require verification after modification of print files.  It was confirmed that no verification was performed following GS10000267 Rev. 204 requirements; therefore, failure to follow procedure is also contributing factor.",CLOSED,Syringe
27,NC-IL081-23217,2020-06-12 00:00:00,SFF-SPIC-F-UDI Barcode,Reject,20E11163X,3360,8881512878,,,Quality,Yes,Yes,2020-10-09 18:37:39.553000,2020-10-09 00:00:00,102.1,343056.0,UDI Barcode,,,2020-06-12,CME,Procedure,"Root cause: GS10000267 Rev. 204 outlines requirements for Print File Maintenance on label/art files\nmanaged at machines. The procedure requires use of existing machine files for maintenance and does not\ncover the storage/use of any backup files as would have been required when faced with a corrupt file situation.  As written, this procedure does not provide enough guidance.  The aforementioned procedure does require verification after modification of print files.  It was confirmed that no verification was performed following GS10000267 Rev. 204 requirements; therefore, failure to follow procedure is also contributing factor.",CLOSED,Syringe
28,NC-IL081-23217,2020-06-12 00:00:00,SFF-SPIC-F-UDI Barcode,Reject,20E11063X,1440,8881512878,,,Quality,Yes,Yes,2020-10-09 18:37:39.553000,2020-10-09 00:00:00,102.1,147024.0,UDI Barcode,,,2020-06-12,CME,Procedure,"Root cause: GS10000267 Rev. 204 outlines requirements for Print File Maintenance on label/art files\nmanaged at machines. The procedure requires use of existing machine files for maintenance and does not\ncover the storage/use of any backup files as would have been required when faced with a corrupt file situation.  As written, this procedure does not provide enough guidance.  The aforementioned procedure does require verification after modification of print files.  It was confirmed that no verification was performed following GS10000267 Rev. 204 requirements; therefore, failure to follow procedure is also contributing factor.",CLOSED,Syringe
29,NC-IL081-23217,2020-06-12 00:00:00,SFF-SPIC-F-UDI Barcode,Reject,20E03663X,960,8881512878,,,Quality,Yes,Yes,2020-10-09 18:37:39.553000,2020-10-09 00:00:00,102.1,98016.0,UDI Barcode,,,2020-06-12,CME,Procedure,"Root cause: GS10000267 Rev. 204 outlines requirements for Print File Maintenance on label/art files\nmanaged at machines. The procedure requires use of existing machine files for maintenance and does not\ncover the storage/use of any backup files as would have been required when faced with a corrupt file situation.  As written, this procedure does not provide enough guidance.  The aforementioned procedure does require verification after modification of print files.  It was confirmed that no verification was performed following GS10000267 Rev. 204 requirements; therefore, failure to follow procedure is also contributing factor.",CLOSED,Syringe
30,NC-IL081-23225,2020-06-12 00:00:00,CFF-V-Labeling - Product & Overshipper 1,Accept,20C10763,540,8985,,,Quality,Yes,Yes,2020-07-16 15:02:09.340000,2020-07-16 00:00:00,43.7,23598.0,Product and Lot Number is incomplete or missing,Visual,Labeling,2020-06-12,C74,Human Error,"The Manufacturing Associate failed to follow Standard Work FM20008998 and failed to examine the overshipper label for correct product code, GTIN code, Lot # and legible barcode print.",CLOSED,Container
31,NC-IL081-23226,2020-06-12 00:00:00,Mix product,Accept,20D20-1-12,2160000,4001204,"Kokoku Rubber, Inc.",,Quality,Yes,Yes,2020-07-15 16:12:50.730000,2020-07-15 00:00:00,0.0,0.0,Not Found,Not Found,Not Found,2020-06-12,S8C,PR-Unknown,Unknown-MEDMFGPR,CLOSED,Syringe
32,NC-IL081-23269,2020-06-15 00:00:00,CFF-V-Incorrect Items,Accept,20E09563,140,89671,,,Quality,Yes,Yes,2020-07-01 19:47:58.417000,2020-07-01 00:00:00,41.8,5852.0,Incorrect IFU/Absorbent pads/Other Kit items/Other Labels in the Overshipper Box,Visual,Assembly,2020-06-15,C31,Human Error,Human Error,CLOSED,Container
33,NC-IL081-23374,2020-06-21 00:00:00,CFF-V-Label Verification and Barcode Verification 2,Accept,20B23663,400,8934PG2,,,Quality,Yes,Yes,2020-07-30 15:57:35.693000,2020-07-14 00:00:00,86.7,34680.0,BH - Bad/Missing label print,Visual,Labeling,2020-06-21,C67,Printer Malfunction,Printer Malfunction,CLOSED,Container
34,NC-IL081-23473,2020-06-25 00:00:00,CFF-V-Label Verification and Barcode Verification 2,Accept,20D29563,580,8980-,,,Quality,Yes,Yes,2020-08-07 15:37:12.947000,2020-08-07 00:00:00,,,BH - Bad/Missing label print,Visual,Labeling,2020-06-25,C56,Incorrect Film Orientation,The ink ribbon was not threaded appropriately. This is a manual task and is influenced by human error.,CLOSED,Container
35,NC-IL081-23539,2020-06-29 00:00:00,SFF-SA-V-Mixed Product 1,Accept,20F16163X,55680,1181200777,,,Quality,Yes,Yes,2020-12-22 16:39:58.110000,2020-12-22 00:00:00,67.9,3780672.0000000005,Mixed Product Type 1: Incorrect or mixed product,,,2020-06-30,S8K,Failed line clearance,Line was not appropriately cleared on the end of run before the execution of the startup on product code 1181200777 was performed,CLOSED,Syringe
36,NC-IL081-23539,2020-06-29 00:00:00,SFF-SA-V-Mixed Product 1,Reject,20F16163X,1440,1181200777,,,Quality,Yes,Yes,2020-12-22 16:39:58.110000,2020-12-22 00:00:00,67.9,97776.00000000001,Mixed Product Type 1: Incorrect or mixed product,,,2020-06-30,S8K,Failed line clearance,Line was not appropriately cleared on the end of run before the execution of the startup on product code 1181200777 was performed,CLOSED,Syringe
37,NC-IL081-23607,2020-07-06 00:00:00,CFF-V-Label Verification and Barcode Verification 2,Accept,20D18963,1800,1522SA,,,Quality,Yes,Yes,2020-07-28 15:18:27.253000,2020-07-28 00:00:00,33.5,60300.0,BH - Bad/Missing label print,Visual,Labeling,2020-07-06,C43B,Human Error,"The Manufacturing Associate did not realize that there was a supporting shop order (R7464) at the job location and grabbed the shop order and Work Instruction Sheet from Press 43C because it was located next to the printer. The Associate then failed to follow FM20008300 which states to visually examine labels for correct product code, GTIN code, and legible barcode print.",CLOSED,Container
38,NC-IL081-23624,2020-07-07 00:00:00,Defective Pkg. Material (Incoming Material),Accept,A000183934,,4006202,,,Quality,No,No,,,0.0,,Not Found,Not Found,Not Found,2020-07-07,CME,,,VOID,Syringe
39,NC-IL081-23885,2020-07-17 00:00:00,CFF-V-Label Verification and Barcode Verification 8,Accept,20C22463,420,85221R,,,Quality,Yes,Yes,2020-07-24 18:15:50.547000,2020-07-24 00:00:00,26.2,11004.0,BH - Incorrect label placement,Visual,Labeling,2020-07-18,C77,Printer Malfunction,Printer Malfunction,CLOSED,Container
40,NC-IL081-23889,2020-07-17 00:00:00,SFF-PPHP-V-Heat Steak 2,Accept,20F08863X,1920,8881512878,,,Quality,Yes,Yes,2020-07-27 21:08:37.980000,2020-07-27 00:00:00,102.1,196032.0,"Type 2,3: One heat stake broken/missing (multiple heat stake products only)",,,2020-07-18,S2P,Defective screw,Side A screw for the heat stake was stripped so it moved off to the side causing no seal.,CLOSED,Syringe
41,NC-IL081-23890,2020-07-18 00:00:00,PR-Parameters out of specification,Accept,20F06663,3820,8938,,,Quality,Yes,Yes,2020-08-04 15:11:19.783000,2020-08-04 00:00:00,37.3,142486.0,,Not Specified,Process,2020-07-18,C35,Human Error,Human Error,CLOSED,Container
42,NC-IL081-23890,2020-07-18 00:00:00,PR-Parameters out of specification,Accept,20F193157,1393,WP8935,,,Quality,Yes,Yes,2020-08-04 15:11:19.783000,2020-08-04 00:00:00,1.9,2646.7,,Not Specified,Process,2020-07-18,C35,Human Error,Human Error,CLOSED,Container
43,NC-IL081-24026,2020-07-24 00:00:00,CFF-V-Packaging 1,Accept,20D25363,660,8525Y,,,Quality,Yes,Yes,2020-07-29 14:56:18.090000,2020-07-29 00:00:00,28.9,19074.0,Product is not packaged as per packaging standards,Visual,Assembly,2020-07-24,C42,Human Error,The Manufacturing Associate failed to follow Standard Work FM20008378 and failed to place the lids in the finished good case correctly because they did not read the standard work document.,CLOSED,Container
44,NC-IL081-24078,2020-07-27 00:00:00,CFF-V-Quantity per Case,Accept,20B14563,160,8985S,,,Quality,Yes,Yes,2020-07-30 19:12:36.630000,2020-07-30 00:00:00,73.2,11712.0,Missing product (Containers/Lids/IFU/Other Kit items/Other Labels),Visual,Assembly,2020-07-28,C74,Human Error,The Manufacturing Associate failed to follow Standard Work FM20009004 and failed to place the required amount of lids in one finished good case.,CLOSED,Container
45,NC-IL081-24171,2020-08-01 00:00:00,CFF-V-Label Verification and Barcode Verification 8,Accept,20E09663,1420,89671,,,Quality,Yes,Yes,2020-08-19 14:29:27.153000,2020-08-19 00:00:00,41.8,59355.99999999999,BH - Incorrect label placement,Visual,Labeling,2020-08-01,C31,Human Error,Human Error,CLOSED,Container
46,NC-IL081-24198,2020-08-03 00:00:00,Non-Compliant w Procedure,Accept,20C17363,180,8537SA,,,Quality,Yes,Yes,2020-08-13 20:04:23.280000,2020-08-13 00:00:00,20.0,3600.0,,Not Specified,Process,2020-08-03,WHS,Inadequate Procedure,Inadequate Procedure - procedure was not clear on how to handle Hold product due to capacity constraints.,CLOSED,Container
47,NC-IL081-24245,2020-08-05 00:00:00,PR-Other,Accept,20G10563X,335000,4502570,,,Quality,Yes,Yes,2020-08-17 16:07:29.337000,2020-08-17 00:00:00,0.1,33500.0,,Not Specified,Other,2020-08-05,S6P,Handling/Storage,Handling/Storage,CLOSED,Syringe
48,NC-IL081-24245,2020-08-05 00:00:00,PR-Other,Accept,20G15763X,335000,4502570,,,Quality,Yes,Yes,2020-08-17 16:07:29.337000,2020-08-17 00:00:00,0.1,33500.0,,Not Specified,Other,2020-08-05,S6P,Handling/Storage,Handling/Storage,CLOSED,Syringe
49,NC-IL081-24266,2020-08-05 00:00:00,CFF-V-Label Verification and Barcode Verification 2,Accept,20F08463,220,8935,,,Quality,Yes,Yes,2020-08-13 13:23:05.180000,2020-08-13 00:00:00,49.3,10846.0,BH - Bad/Missing label print,Visual,Labeling,2020-08-05,C67,Human Error,Technician found that the new roll of ribbon was out of position. This was most likely due to the ribbon not being secured properly upon setup.,CLOSED,Container
50,NC-IL081-24361,2020-08-10 00:00:00,CFF-V-Packaging 1,Accept,20G02063,680,8527R,,,Quality,Yes,Yes,2020-08-20 21:27:12.010000,2020-08-20 00:00:00,26.1,17748.0,Product is not packaged as per packaging standards,Visual,Assembly,2020-08-10,C42,Human Error,Human Error-The Manufacturing Associate failed to follow Standard Work FM20008378 and failed to place the lids in each finished good case in the correct orientation.,CLOSED,Container
51,NC-IL081-24579,2020-08-17 00:00:00,SFF-SA-F-Spraymation,Accept,20H03363X,132000,4502570,,,Quality,Yes,Yes,2020-11-06 16:23:28.723000,2020-11-06 00:00:00,0.1,13200.0,Spraymation,,,2020-08-17,S6K,Excessive silicone,No visual issues with the spraymation heads. Drip tray and dials found to have some excessive silicone. Possibly samples mis-handled.,CLOSED,Syringe
52,NC-IL081-24588,2020-08-17 00:00:00,SFF-M-V-Drag Marks/Gouges/Nicks Scratches 2,Accept,20H03363X,81000,4502570,,,Quality,Yes,Yes,2020-12-07 21:48:14.650000,2020-12-07 00:00:00,0.1,8100.0,"Drag Marks/Gouges/Nicks/Scratches Type 2/3: Scratch/Drag Marks in Non-Fluid Pathway - Material removed is measureable. If the scratch/scuff/drag mark can be felt with a bare finger, it will be considered too deep.",,,2020-08-18,S6C,Damaged gate,Damaged gate on cavity 44B,CLOSED,Syringe
53,NC-IL081-24640,2020-08-20 00:00:00,PR-- PR--oduct testing fails,Accept,193757,19755,RM165,,,Quality,Yes,Yes,2020-08-28 18:15:58.657000,2020-08-28 00:00:00,0.0,0.0,,Not Specified,Process,2020-08-20,RSN,Man,Human error.,CLOSED,Container
54,NC-IL081-24660,2020-08-20 00:00:00,SFF-PPSP-V-Seal Integrity 1,Accept,20H10163X,17280,8881540122,,,Quality,Yes,Yes,2020-09-17 13:48:45.067000,2020-09-17 00:00:00,78.6,1358208.0,Void allows air into sealed package,,,2020-08-20,S8F,Damaged gasket,"The gasket seal that was on the multi-vac was damaged, causing a void on package 16. The damaged happened either by a molded component or plastic material entered the sealing process and caused the damage to the gasket.",CLOSED,Syringe
55,NC-IL081-24772,2020-08-25 00:00:00,SFF-M-V-Broken/Damaged 1,Accept,20H03063X,400,8881112599,,,Quality,Yes,Yes,2020-09-25 15:06:38.150000,2020-09-25 00:00:00,58.4,23360.0,Broken or damaged product rendering it Non Functional,,,2020-08-26,S1B,Normal machine wear,The un-winder was in set position and not winding causing the piece to break. Normal machine wear.,CLOSED,Syringe
56,NC-IL081-24772,2020-08-25 00:00:00,SFF-M-V-Broken/Damaged 1,Reject,20H03063X,30400,8881112599,,,Quality,Yes,Yes,2020-09-25 15:06:38.150000,2020-09-25 00:00:00,58.4,1775360.0,Broken or damaged product rendering it Non Functional,,,2020-08-26,S1B,Normal machine wear,The un-winder was in set position and not winding causing the piece to break. Normal machine wear.,CLOSED,Syringe
57,NC-IL081-24820,2020-08-27 00:00:00,Documentation Incorrect/Unclear,Accept,20C21563,1,31144010,,,Quality,Yes,Yes,2020-09-04 13:58:08.090000,2020-09-04 00:00:00,76.5,76.5,,Not Specified,Documentation,2020-08-27,C82,People/Human Error/,People/Human Error/,CLOSED,Container
58,NC-IL081-24853,2020-08-28 00:00:00,CFF-V-Label,Accept,20F10863,500,04700-U6,,,Quality,Yes,Yes,2020-09-09 20:48:12.907000,2020-09-09 00:00:00,,,,Visual,Labeling,2020-08-29,C31,IT/Computer Systems,IT/Computer Systems,CLOSED,Container
59,NC-IL081-24853,2020-08-28 00:00:00,CFF-V-Label,Reject,20F10863,20,04700-U6,,,Quality,Yes,Yes,2020-09-09 20:48:12.907000,2020-09-09 00:00:00,,,,Visual,Labeling,2020-08-29,C31,IT/Computer Systems,IT/Computer Systems,CLOSED,Container
60,NC-IL081-25126,2020-09-11 00:00:00,"CFF-V-Blisters, Bubbles and Voids",Accept,20E16763,2700,8534SA,,,Quality,Yes,Yes,2020-10-09 15:08:19.687000,2020-10-09 00:00:00,33.6,90720.0,Single bubble greater than or equal to 0.080”; Up to 3 bubbles between 0.060 and 0.080”; Up to 4 bubbles less than or equal to 0.060”; Up to 8 bubbles less than 0.030”; Living Hinge = Reject All,Visual,Molding,2020-09-11,C30,Machine Failure,Machine Failure,CLOSED,Container
61,NC-IL081-25160,2020-09-14 00:00:00,Out of Spec Product Functional,Accept,20J00663X,420,8881512878,,,Quality,Yes,Yes,2020-09-21 21:22:49.137000,2020-09-21 00:00:00,102.1,42882.0,,Functional,Molding,2020-09-14,S2P,Packer up/down,,CLOSED,Syringe
62,NC-IL081-25160,2020-09-14 00:00:00,Out of Spec Product Functional,Accept,20J00763X,4,8881512878,,,Quality,Yes,Yes,2020-09-21 21:22:49.137000,2020-09-21 00:00:00,102.1,408.4,,Functional,Molding,2020-09-14,S2P,Packer up/down,,CLOSED,Syringe
63,NC-IL081-25267,2020-09-18 00:00:00,Outside Validated Parameters,Accept,20J05363X,335000,4502570,,,Quality,Yes,Yes,2020-10-08 19:44:45.277000,2020-10-08 00:00:00,0.1,33500.0,,Not Specified,Process,2020-09-18,S6K,Human Error,"The Cell Tech failed to follow GS10004646 Rev 208 Section 6.3 which requires that the PCR readings are recorded and verified once per shift.  When the cell tech took their PCR reading, they recorded the temperature at 170. The range is 175 to 195. The cell tech failed to recognize that the fill time was out of parameters and continued to run.",CLOSED,Syringe
64,NC-IL081-25267,2020-09-18 00:00:00,Outside Validated Parameters,Accept,20J05263X,335000,4502570,,,Quality,Yes,Yes,2020-10-08 19:44:45.277000,2020-10-08 00:00:00,0.1,33500.0,,Not Specified,Process,2020-09-18,S6K,Human Error,"The Cell Tech failed to follow GS10004646 Rev 208 Section 6.3 which requires that the PCR readings are recorded and verified once per shift.  When the cell tech took their PCR reading, they recorded the temperature at 170. The range is 175 to 195. The cell tech failed to recognize that the fill time was out of parameters and continued to run.",CLOSED,Syringe
65,NC-IL081-25267,2020-09-18 00:00:00,Outside Validated Parameters,Accept,20J05163X,291000,4502570,,,Quality,Yes,Yes,2020-10-08 19:44:45.277000,2020-10-08 00:00:00,0.1,29100.0,,Not Specified,Process,2020-09-18,S6K,Human Error,"The Cell Tech failed to follow GS10004646 Rev 208 Section 6.3 which requires that the PCR readings are recorded and verified once per shift.  When the cell tech took their PCR reading, they recorded the temperature at 170. The range is 175 to 195. The cell tech failed to recognize that the fill time was out of parameters and continued to run.",CLOSED,Syringe
66,NC-IL081-25280,2020-09-18 00:00:00,SFF-M-Drag Marks /Gouges/Nicks Scratches 2,Accept,20J05463X,1000,4502570,,,Quality,Yes,Yes,2020-09-25 19:55:23.780000,2020-09-25 00:00:00,0.1,100.0,Not Found,Not Found,Not Found,2020-09-18,,Damaged gate,Cavity 11 has a damaged gate,CLOSED,Syringe
67,NC-IL081-25280,2020-09-18 00:00:00,SFF-M-Drag Marks /Gouges/Nicks Scratches 2,Reject,20J05463X,37000,4502570,,,Quality,Yes,Yes,2020-09-25 19:55:23.780000,2020-09-25 00:00:00,0.1,3700.0,Not Found,Not Found,Not Found,2020-09-18,,Damaged gate,Cavity 11 has a damaged gate,CLOSED,Syringe
